Date,dow_jones_index
2013-09-06,14280.0
2013-09-07,14355.0
2013-09-08,14355.0
2013-09-09,14430.0
2013-09-10,14500.0
2013-09-11,14640.0
2013-09-12,14650.0
2013-09-13,14690.0
2013-09-14,14755.0
2013-09-15,14755.0
2013-09-16,14755.0
2013-09-17,14820.0
2013-09-18,14840.0
2013-09-19,14860.0
2013-09-20,14940.0
2013-09-21,14815.0
2013-09-22,14815.0
2013-09-23,14815.0
2013-09-24,14690.0
2013-09-25,14620.0
2013-09-26,14620.0
2013-09-27,14560.0
2013-09-28,14435.0
2013-09-29,14435.0
2013-09-30,14310.0
2013-10-01,14320.0
2013-10-02,14200.0
2013-10-03,14200.0
2013-10-04,14010.0
2013-10-05,13995.0
2013-10-06,13995.0
2013-10-07,13980.0
2013-10-08,13980.0
2013-10-09,13930.0
2013-10-10,14010.0
2013-10-11,14330.0
2013-10-12,14370.0
2013-10-13,14370.0
2013-10-14,14370.0
2013-10-15,14410.0
2013-10-16,14370.0
2013-10-17,14460.0
2013-10-18,14450.0
2013-10-19,14460.0
2013-10-20,14460.0
2013-10-21,14470.0
2013-10-22,14480.0
2013-10-23,14400.0
2013-10-24,14480.0
2013-10-25,14390.0
2013-10-26,14490.0
2013-10-27,14490.0
2013-10-28,14590.0
2013-10-29,14590.0
2013-10-30,14720.0
2013-10-31,14680.0
2013-11-01,14660.0
2013-11-02,14685.0
2013-11-03,14685.0
2013-11-04,14685.0
2013-11-05,14710.0
2013-11-06,14890.0
2013-11-07,14840.0
2013-11-08,14650.0
2013-11-09,14765.0
2013-11-10,14765.0
2013-11-11,14880.0
2013-11-12,14980.0
2013-11-13,14910.0
2013-11-14,15050.0
2013-11-15,15240.0
2013-11-16,15225.0
2013-11-17,15225.0
2013-11-18,15210.0
2013-11-19,15190.0
2013-11-20,15150.0
2013-11-21,15200.0
2013-11-22,15350.0
2013-11-23,15495.0
2013-11-24,15495.0
2013-11-25,15640.0
2013-11-26,15650.0
2013-11-27,15650.0
2013-11-28,15720.0
2013-11-29,15720.0
2013-11-30,15735.0
2013-12-01,15735.0
2013-12-02,15750.0
2013-12-03,15680.0
2013-12-04,15570.0
2013-12-05,15480.0
2013-12-06,15450.0
2013-12-07,15610.0
2013-12-08,15610.0
2013-12-09,15770.0
2013-12-10,15740.0
2013-12-11,15570.0
2013-12-12,15400.0
2013-12-13,15660.0
2013-12-14,15535.0
2013-12-15,15535.0
2013-12-16,15410.0
2013-12-17,15620.0
2013-12-18,15580.0
2013-12-19,15880.0
2013-12-20,15950.0
2013-12-21,15960.0
2013-12-22,15960.0
2013-12-23,15960.0
2013-12-24,15970.0
2013-12-25,16100.0
2013-12-26,16320.0
2013-12-27,16470.0
2013-12-28,16500.0
2013-12-29,16500.0
2013-12-30,16530.0
2013-12-31,16430.0
2014-01-01,16430.0
2014-01-02,16430.0
2014-01-03,16430.0
2014-01-04,16430.0
2014-01-05,16430.0
2014-01-06,16330.0
2014-01-07,16310.0
2014-01-08,16420.0
2014-01-09,16340.0
2014-01-10,16410.0
2014-01-11,16185.0
2014-01-12,16185.0
2014-01-13,16185.0
2014-01-14,15960.0
2014-01-15,16160.0
2014-01-16,16320.0
2014-01-17,16280.0
2014-01-18,16240.0
2014-01-19,16240.0
2014-01-20,16200.0
2014-01-21,16250.0
2014-01-22,16250.0
2014-01-23,16200.0
2014-01-24,15890.0
2014-01-25,15690.0
2014-01-26,15690.0
2014-01-27,15490.0
2014-01-28,15480.0
2014-01-29,15770.0
2014-01-30,15410.0
2014-01-31,15360.0
2014-02-01,15320.0
2014-02-02,15320.0
2014-02-03,15280.0
2014-02-04,14770.0
2014-02-05,14810.0
2014-02-06,14970.0
2014-02-07,15200.0
2014-02-08,15270.0
2014-02-09,15270.0
2014-02-10,15340.0
2014-02-11,15445.0
2014-02-12,15550.0
2014-02-13,15380.0
2014-02-14,15450.0
2014-02-15,15455.0
2014-02-16,15455.0
2014-02-17,15460.0
2014-02-18,15680.0
2014-02-19,15580.0
2014-02-20,15420.0
2014-02-21,15610.0
2014-02-22,15565.0
2014-02-23,15565.0
2014-02-24,15520.0
2014-02-25,15690.0
2014-02-26,15610.0
2014-02-27,15500.0
2014-02-28,15470.0
2014-03-01,15445.0
2014-03-02,15445.0
2014-03-03,15420.0
2014-03-04,15340.0
2014-03-05,15610.0
2014-03-06,15680.0
2014-03-07,15680.0
2014-03-08,15680.0
2014-03-09,15680.0
2014-03-10,15680.0
2014-03-11,15670.0
2014-03-12,15460.0
2014-03-13,15540.0
2014-03-14,15200.0
2014-03-15,15160.0
2014-03-16,15160.0
2014-03-17,15120.0
2014-03-18,15420.0
2014-03-19,15320.0
2014-03-20,15260.0
2014-03-21,15445.0
2014-03-22,15445.0
2014-03-23,15445.0
2014-03-24,15630.0
2014-03-25,15400.0
2014-03-26,15600.0
2014-03-27,15600.0
2014-03-28,15800.0
2014-03-29,15765.0
2014-03-30,15765.0
2014-03-31,15730.0
2014-04-01,15720.0
2014-04-02,15840.0
2014-04-03,15860.0
2014-04-04,15870.0
2014-04-05,15785.0
2014-04-06,15785.0
2014-04-07,15700.0
2014-04-08,15580.0
2014-04-09,15490.0
2014-04-10,15670.0
2014-04-11,15350.0
2014-04-12,15275.0
2014-04-13,15275.0
2014-04-14,15200.0
2014-04-15,15410.0
2014-04-16,15580.0
2014-04-17,15540.0
2014-04-18,15570.0
2014-04-19,15630.0
2014-04-20,15630.0
2014-04-21,15690.0
2014-04-22,15700.0
2014-04-23,15760.0
2014-04-24,15580.0
2014-04-25,15500.0
2014-04-26,15490.0
2014-04-27,15490.0
2014-04-28,15480.0
2014-04-29,15485.0
2014-04-30,15490.0
